朝代,地区,姓名,名次,任官经历,著作,出身,婚嫁,轶事
康熙九年庚戌,杭州府昌化县,陈秉谦,顺治十七年（1660）乡试第二十一名，明年会试第一百五十名，康熙九年（1670）补殿试，第二甲第二十九名，赐进士出身,,,,,
乾隆二年丁巳,杭州府昌化县,张自新,乾隆二年（1737）殿试第三甲第六十一名，赐同进士出身,丁巳成进士，为桐城张相国门下士,《易经通论》四卷,,,丁巳成进士，为桐城张相国门下士，极重其才，居京师十余载，受业及执贽请益者资其讲论，多获隽有名。素嗜经学，尤专精于《易》……因著《易经通论》四卷……寻归，卒于家。博学多才，未竟厥用，士林惜焉。
乾隆十七年壬申,杭州府昌化县,许起凤,乾隆十七年（1752）乡试举人，同年殿试第三甲第九十一名，赐同进士出身,候选知县，授陕西兴安州汉阴县知县。乾隆二十七年（1762）任陕西凤翔府宝鸡县知县，乾隆四十一年（1776）任安徽池州府建德县知县,,,,
康熙十二年癸丑,杭州府富阳县,陈三省,康熙八年(1669)乡试举人，会试九十九名，康熙十二年 (1673)殿试第三甲第八十四名，赐同进士出身,官知县,,,,
康熙十二年癸丑,杭州府富阳县,马翀,丁酉一百七名，会试八十五名，三甲八十七名,分部学习主事，由进士历官至江西盐法道,,,,
康熙三年甲辰,杭州府余杭县,严曾榘,"顺治十四年
(1657)乡试第一百九十三名,会试三十七名,康熙三年(1664)殿试第二甲第十三名,赐进士出
身","选翰林院庶吉士，五年,由庶吉士改授广西道御史，七年,因病乞假回籍。十一年,补河南道御史二十一年,服阕,补江南道御史，(二十八年)三月,借补右参议,寻转左。五月,迁鸿胪寺卿。三十年六月,迁右通政。八月,转左。十月,迁太仆寺卿。三十一年四月,迁通政使。十一月,迁左都御史。三十六年五月,擢兵部右侍郎，三十九年,卒于官。",《德聚堂集》,,,"《清圣祖实录》卷一二、康熙三年五月丙子:“谕吏部:选拔庶常原以作养人才,今科进士特 加简阅。取中严曾榘等十五员,俱著改为庶吉士,教习满书。”同上书卷二○、康熙五年九月辛丑:“谕吏部:庶吉士申涵盼等教习已久,今加考试,分别授职严曾榘、徐诰武、熊一潇、李棠,以科道用。”"
康熙十五年丙辰,杭州府余杭县,沈谷,"康熙八年(1669)乡试举人,康熙十五年 (1676)会试第五名,殿试第二甲第三十四名,赐进士出身",任知县,,,,"早擅文誉,性豪纵,喜狎游,青楼粉壁到处留题,尝以康对山、杨升庵自况云。"
康熙十八年己未,杭州府余杭县,吴维城,"康熙十七年(1678)乡试第三十六名, 康熙十八年(1679)会试第一百四名,殿试第三甲第四十六名,赐同进士出身",任安徽宁国府同知,,,,
康熙十八年己未,杭州府余杭县,俞寅,"康熙十四年(1675)乡试第二十八名,康熙十八年(1679)会试第九名,殿试第三甲第四十八名,赐同进士出身","康熙二十八年 (1689)任广西柳州府上林县知县,康熙三十四年(1695)任山东登州府栖霞县知县",,,,"卷二七《文艺传·国朝》：有神童之目,长益博综载籍,一官匏系,山水情多,刻有诗集四册行世。光绪《增修登州府志》卷二九《文秩五・栖霞县知县·国朝》:“康熙:俞寅,浙江余姚进士。三十四年任,次年秋荒,煮粥赈饥,虽隆冬必亲历不倦,全活甚众后四十三年大饥,民至相食,而守法无敢动者,寅一创之力也。”"
康熙四十五年丙戌,杭州府余杭县,吴世雍,"康熙三十八年(1699)乡试举人,康熙四十五年 (1706)殿试第三甲第九十三名",壶关知县,,,,
乾隆七年壬戌,杭州府余杭县,葛曙,"雍正七年(1729)乡试举人,乾隆七年(1742)殿试第二甲第 三十名,赐进士出身。","以知县即用,历任广东肇庆府新兴县、潮州府丰顺县、广州府新宁县、四川茂州保县知县,乾隆二十五年(1760)升四川成都府简州知州",,,,
康熙十五年丙辰,杭州府临安县,陈勋,"康熙十四年(1675)乡试第二十九名,康熙十五年(1676)会试第九十二名, 殿试第三甲第二十一名,赐同进士出身","历任河南卫辉府辉县知县,陕西绥德州、甘肃阶州知州, 授刑部主事,迁工部营缮司员外郎、刑部郎中,擢京畿道监察御史。罢归,终年八十七岁。",,,,"后以牵累罢归,卜居西郊,萧然物外,雅善丹青...卒,年八十七。"
康熙三十三年甲戌,杭州府临安县,高崧,"康熙三十二年(1693)癸酉科乡试 第四十三名,康熙三十三年(1694)会试第一百十一名,殿试第三甲第一百五名,赐同进士出身","康熙四十年(1701)授山东济南府霑化县知县,康熙四十四年(1705)授河南开封府通许县知县, 康熙五十六年(1717)任四川成都府灌县知县。雍正元年(1723)授礼部精膳司额外主事。告归, 终年七十四岁。",《易经阐奥》《五经萃要》《读史津梁》及《蜀游》《归田》《淑芳》等诗集,,,
康熙四十二年癸未,杭州府临安县,盛弘邃,"康熙三十八年(1699)乡试第 二十六名,康熙四十二年(1703)会试第二十三名,殿试第三甲第十九名,赐同进士出身","康熙 五十一年(1712)授江苏扬州府兴化县知县,以疾告归。终年七十二岁。",《石镜山庄诗初二 集》《宛槎集》《鹤田诗集》《凝翠轩诗集》《东田闲居草》《志行草》《评选时文》,,,"工书法,善诗…登康熙癸未进士,授兴化令。捐俸修葺文庙伦堂,创立义塾,延师教士,筑修范文正公捍海旧堤,水患至今永绝。后以疾告归,绅士吁宪请祀名宦。"
